X,Y,TYPE
4.832303,46.800763,Formula1
4.389018,48.943632,Formula1
5.889536,45.59504,Formula1
6.007206,45.514157,Formula1
2.229771,49.174665,Formula1
4.811375,45.315846,Formula1
2.037582,48.976022,Formula1
4.724646,49.739016,Formula1
1.51294,48.428047,Formula1
0.547376,46.838743,Formula1
5.145851,48.083431,Formula1
-1.577868,49.636513,Formula1
2.299991,48.715602,Formula1
-0.84394,47.075115,Formula1
3.219454,45.610663,Formula1
3.141045,45.785392,Formula1
2.55292,48.906019,Formula1
7.360969,48.095561,Formula1
2.780803,49.40766,Formula1
2.087633,49.00589,Formula1
3.09629,48.803574,Formula1
2.471311,48.724987,Formula1
1.075271,49.903092,Formula1
5.068529,47.351906,Formula1
5.019304,47.2821,Formula1
5.501835,47.13456,Formula1
3.045976,50.398732,Formula1
1.355218,48.748783,Formula1
2.334768,51.022822,Formula1
2.286643,51.022847,Formula1
6.430961,48.221103,Formula1
2.334774,48.677427,Formula1
1.814346,48.960578,Formula1
1.153714,49.001565,Formula1
2.424783,48.615752,Formula1
2.44838,48.621457,Formula1
1.88898,48.979075,Formula1
2.85641,48.711857,Formula1
-1.183117,48.347543,Formula1
6.641209,43.464161,Formula1
6.083929,44.562708,Formula1
2.306937,48.9187,Formula1
5.655045,45.250319,Formula1
5.697548,45.158809,Formula1
5.780717,45.186036,Formula1
2.375461,48.646684,Formula1
6.256314,43.147619,Formula1
-1.430555,46.710145,Formula1
-1.100429,46.108494,Formula1
-0.737425,48.087598,Formula1
4.541291,46.744359,Formula1
0.225451,49.509135,Formula1
6.35448,43.394646,Formula1
0.170757,48.052087,Formula1
0.180684,47.943161,Formula1
2.198253,48.679228,Formula1
3.089994,50.580065,Formula1
2.776663,50.422154,Formula1
2.736719,50.725416,Formula1
2.964378,50.633271,Formula1
3.097516,50.644545,Formula1
3.121489,50.763765,Formula1
3.182518,50.69515,Formula1
3.180195,50.722835,Formula1
3.135369,50.644075,Formula1
1.290979,45.888304,Formula1
2.259398,48.622515,Formula1
-3.331455,47.787583,Formula1
4.805296,45.574737,Formula1
4.992394,45.822615,Formula1
4.721713,45.809142,Formula1
5.029108,45.759752,Formula1
4.760952,45.820806,Formula1
4.91331,45.705576,Formula1
4.823877,45.637504,Formula1
5.001392,45.660849,Formula1
4.820173,45.715586,Formula1
4.907008,45.787996,Formula1
4.872631,45.722428,Formula1
4.868027,46.422335,Formula1
4.841017,46.36362,Formula1
1.700184,48.97917,Formula1
